event_type,level,trigger,description,file,line,recommendation,comment,status
ConversationEvents.RESPONSE_CONVERSION_COMPLETED,DEBUG,src/muxi/utils/response_converter.py:329,Error response details created successfully,src/muxi/utils/response_converter.py,329,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.RESPONSE_CONVERSION_STARTED,DEBUG,src/muxi/utils/response_converter.py:33,Starting OneLLM to MUXI content conversion,src/muxi/utils/response_converter.py,33,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.RESPONSE_CONVERSION_STARTED,DEBUG,src/muxi/utils/response_converter.py:104,Starting MCP message content extraction,src/muxi/utils/response_converter.py,104,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.RESPONSE_CONVERSION_STARTED,DEBUG,src/muxi/utils/response_converter.py:224,Creating unified response object,src/muxi/utils/response_converter.py,224,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.RESPONSE_CONVERSION_STARTED,DEBUG,src/muxi/utils/response_converter.py:301,Creating error response details,src/muxi/utils/response_converter.py,301,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.RESPONSE_GENERATION_STARTED,ERROR,src/muxi/services/llm/llm.py:1457,"Multimodal processing failed, falling back to basic processing",src/muxi/services/llm/llm.py,1457,OK - No issues identified,,
ConversationEvents.RESPONSE_SYNTHESIZED,DEBUG,src/muxi/formation/workflow/synthesis.py:643,Quality target reached in iteration {iterations},src/muxi/formation/workflow/synthesis.py,643,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.RESPONSE_SYNTHESIZED,INFO,src/muxi/formation/workflow/synthesis.py:482,Response synthesis completed: {quality_assessment.overall_quality.value} quality in {iterations} iterations,src/muxi/formation/workflow/synthesis.py,482,REVIEW - Consider DEBUG level for granular processing steps,,
ConversationEvents.RESPONSE_SYNTHESIZED,INFO,src/muxi/services/multimodal/fusion_engine.py:845,"Multi-modal processing completed: {len(content_items)} modalities, fusion quality {fusion_quality:.2f}",src/muxi/services/multimodal/fusion_engine.py,845,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOBS_FOUND,INFO,src/muxi/services/scheduler/service.py:317,Found {len(due_jobs)} jobs due for execution,src/muxi/services/scheduler/service.py,317,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_ASYNC_INITIATED,INFO,src/muxi/services/scheduler/service.py:706,Async execution initiated for job: {job['title']},src/muxi/services/scheduler/service.py,706,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_COMPLETED,INFO,src/muxi/services/scheduler/service.py:906,Recurring job completed via webhook: {job['title']},src/muxi/services/scheduler/service.py,906,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_CREATED,INFO,src/muxi/services/scheduler/manager.py:220,{job_type.title()} job created: {title},src/muxi/services/scheduler/manager.py,220,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_CREATED,INFO,src/muxi/services/scheduler/service.py:840,Scheduled job created: {title},src/muxi/services/scheduler/service.py,840,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_DELETED,INFO,src/muxi/services/scheduler/service.py:1020,Scheduled job deleted: {job_id},src/muxi/services/scheduler/service.py,1020,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXCLUDED,INFO,src/muxi/services/scheduler/service.py:486,Job {job['id']} excluded by rule: {rule.get('description')},src/muxi/services/scheduler/service.py,486,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXCLUDED,INFO,src/muxi/services/scheduler/service.py:501,Job {job['id']} excluded by complex date rule: {rule.get('description')},src/muxi/services/scheduler/service.py,501,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXECUTION_TRACKED,ERROR,src/muxi/services/scheduler/manager.py:737,Job execution failure tracked: {job_id},src/muxi/services/scheduler/manager.py,737,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXECUTION_TRACKED,INFO,src/muxi/services/scheduler/manager.py:458,Job paused: {job_id},src/muxi/services/scheduler/manager.py,458,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXECUTION_TRACKED,INFO,src/muxi/services/scheduler/manager.py:510,Job resumed: {job_id},src/muxi/services/scheduler/manager.py,510,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXECUTION_TRACKED,INFO,src/muxi/services/scheduler/manager.py:621,Job deleted: {job_id},src/muxi/services/scheduler/manager.py,621,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_EXECUTION_TRACKED,INFO,src/muxi/services/scheduler/manager.py:691,Job execution success tracked: {job_id},src/muxi/services/scheduler/manager.py,691,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_PAUSED,INFO,src/muxi/services/scheduler/service.py:976,Scheduled job paused: {job_id},src/muxi/services/scheduler/service.py,976,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_RESUMED,INFO,src/muxi/services/scheduler/service.py:998,Scheduled job resumed: {job_id},src/muxi/services/scheduler/service.py,998,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_STARTED,INFO,src/muxi/services/scheduler/service.py:673,Starting execution of scheduled job: {job['title']},src/muxi/services/scheduler/service.py,673,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_UPDATED,INFO,src/muxi/services/scheduler/manager.py:1268,Job {job_id} updated successfully,src/muxi/services/scheduler/manager.py,1268,OK - No issues identified,,
ConversationEvents.SCHEDULED_JOB_WEBHOOK_RECEIVED,INFO,src/muxi/services/scheduler/service.py:950,Webhook received for scheduled job: {job_id},src/muxi/services/scheduler/service.py,950,OK - No issues identified,,
ConversationEvents.SECURITY_VIOLATION,WARNING,src/muxi/formation/overlord/overlord.py:6547,Security threat detected by LLM analyzer: {analysis.threat_type},src/muxi/formation/overlord/overlord.py,6547,OK - No issues identified,,
ConversationEvents.SECURITY_VIOLATION,WARNING,src/muxi/formation/overlord/overlord.py:6921,Security violation detected: {e.threat_type},src/muxi/formation/overlord/overlord.py,6921,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,DEBUG,src/muxi/formation/agents/knowledge/handler.py:650,Knowledge disabled for agent,src/muxi/formation/agents/knowledge/handler.py,650,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.SESSION_CREATED,DEBUG,src/muxi/formation/agents/knowledge/handler.py:658,Knowledge disabled for agent,src/muxi/formation/agents/knowledge/handler.py,658,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.SESSION_CREATED,DEBUG,src/muxi/services/llm/service.py:176,API key accessed for provider: {provider},src/muxi/services/llm/service.py,176,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/formation/agents/knowledge/handler.py:184,f-string: KnowledgeHandler initialized with hybrid architecture and memory integration,src/muxi/formation/agents/knowledge/handler.py,184,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/formation/agents/knowledge/handler.py:636,Starting KnowledgeHandler creation from agent config,src/muxi/formation/agents/knowledge/handler.py,636,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/formation/agents/knowledge/handler.py:684,Loading knowledge sources for agent,src/muxi/formation/agents/knowledge/handler.py,684,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/formation/agents/knowledge/handler.py:732,KnowledgeHandler created successfully from agent config,src/muxi/formation/agents/knowledge/handler.py,732,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/services/llm/service.py:101,OneLLMService singleton initialized,src/muxi/services/llm/service.py,101,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/services/llm/service.py:151,API key configured for provider: {provider},src/muxi/services/llm/service.py,151,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/services/llm/service.py:695,Service configuration updated,src/muxi/services/llm/service.py,695,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,INFO,src/muxi/services/memory/memobase.py:66,Memobase initialized,src/muxi/services/memory/memobase.py,66,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,WARNING,src/muxi/formation/agents/knowledge/handler.py:668,No knowledge sources configured for agent,src/muxi/formation/agents/knowledge/handler.py,668,OK - No issues identified,,
ConversationEvents.SESSION_CREATED,WARNING,src/muxi/formation/agents/knowledge/handler.py:676,No knowledge sources configured for agent,src/muxi/formation/agents/knowledge/handler.py,676,OK - No issues identified,,
ConversationEvents.SOP_EXECUTED,INFO,src/muxi/formation/overlord/overlord.py:7523,Passed SOP '{relevant_sop['name']}' to decomposer in {mode} mode,src/muxi/formation/overlord/overlord.py,7523,OK - No issues identified,,
ConversationEvents.SOP_LOADED,INFO,src/muxi/formation/workflow/sops.py:85,Loaded {len(self.sops)} SOPs from {self.sop_dir},src/muxi/formation/workflow/sops.py,85,OK - No issues identified,,
ConversationEvents.SOP_MATCHED,INFO,src/muxi/formation/overlord/overlord.py:1002,Matched SOP '{relevant_sop['name']}' for request,src/muxi/formation/overlord/overlord.py,1002,OK - No issues identified,,
ConversationEvents.SOP_MATCHED,WARNING,src/muxi/formation/overlord/overlord.py:6642,Explicit SOP request '{sop_id}' could not be fulfilled,src/muxi/formation/overlord/overlord.py,6642,OK - No issues identified,,
ConversationEvents.WEBHOOK_FAILED,DEBUG,src/muxi/formation/background/webhook_manager.py:216,Webhook retry with exponential backoff,src/muxi/formation/background/webhook_manager.py,216,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.WEBHOOK_FAILED,DEBUG,src/muxi/formation/background/webhook_manager.py:466,Webhook retry with exponential backoff,src/muxi/formation/background/webhook_manager.py,466,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.WEBHOOK_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:5202,Webhook delivery failed for request {request_id},src/muxi/formation/overlord/overlord.py,5202,OK - No issues identified,,
ConversationEvents.WEBHOOK_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:5283,Webhook delivery failed for async request {request_id},src/muxi/formation/overlord/overlord.py,5283,OK - No issues identified,,
ConversationEvents.WEBHOOK_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:5212,"Request {request_id}: No webhook URL configured, skipping notification",src/muxi/formation/overlord/overlord.py,5212,OK - No issues identified,,
ConversationEvents.WEBHOOK_SENT,INFO,src/muxi/formation/overlord/overlord.py:5168,Starting webhook delivery for request {request_id},src/muxi/formation/overlord/overlord.py,5168,OK - No issues identified,,
ConversationEvents.WEBHOOK_SENT,INFO,src/muxi/formation/overlord/overlord.py:5191,Webhook delivered successfully for request {request_id},src/muxi/formation/overlord/overlord.py,5191,OK - No issues identified,,
ConversationEvents.WORKFLOW_ANALYSIS_FAILED,ERROR,src/muxi/formation/workflow/analyzer.py:103,"Workflow request analysis failed, using fallback",src/muxi/formation/workflow/analyzer.py,103,OK - No issues identified,,
ConversationEvents.WORKFLOW_ANALYSIS_FAILED,ERROR,src/muxi/formation/workflow/analyzer.py:421,"LLM-based workflow analysis failed, using fallback",src/muxi/formation/workflow/analyzer.py,421,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_COMPLETED,INFO,src/muxi/formation/workflow/decomposer.py:91,Decomposed request into workflow {workflow_id} with {len(validated_workflow.tasks)} tasks,src/muxi/formation/workflow/decomposer.py,91,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_COMPLETED,INFO,src/muxi/formation/workflow/decomposer.py:1058,Fixed circular dependencies in workflow {workflow.id},src/muxi/formation/workflow/decomposer.py,1058,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_COMPLETED,INFO,src/muxi/formation/workflow/decomposer.py:1116,Modified workflow {workflow.id} using LLM,src/muxi/formation/workflow/decomposer.py,1116,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_COMPLETED,INFO,src/muxi/formation/workflow/decomposer.py:1141,Modified workflow {workflow.id} using heuristic approach,src/muxi/formation/workflow/decomposer.py,1141,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_FAILED,ERROR,src/muxi/formation/workflow/decomposer.py:105,"Workflow decomposition failed, using fallback workflow",src/muxi/formation/workflow/decomposer.py,105,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_FAILED,ERROR,src/muxi/formation/workflow/decomposer.py:155,"Workflow modification failed, returning original",src/muxi/formation/workflow/decomposer.py,155,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_FAILED,ERROR,src/muxi/formation/workflow/decomposer.py:653,"LLM decomposition failed, using heuristic fallback",src/muxi/formation/workflow/decomposer.py,653,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_FAILED,ERROR,src/muxi/formation/workflow/decomposer.py:868,"LLM plan preview generation failed, using heuristic",src/muxi/formation/workflow/decomposer.py,868,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_FAILED,ERROR,src/muxi/formation/workflow/decomposer.py:942,Heuristic plan preview generation failed,src/muxi/formation/workflow/decomposer.py,942,OK - No issues identified,,
ConversationEvents.WORKFLOW_DECOMPOSITION_FAILED,ERROR,src/muxi/formation/workflow/decomposer.py:1025,"Workflow validation failed, returning unvalidated workflow",src/muxi/formation/workflow/decomposer.py,1025,OK - No issues identified,,
