event_type,level,trigger,description,file,line,recommendation,comment,status
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/llm/llm.py:277,File size {file_size} exceeds limit,src/muxi/services/llm/llm.py,277,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/llm/llm.py:287,File blocked due to dangerous extension,src/muxi/services/llm/llm.py,287,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/llm/llm.py:674,f-string: API key set for provider {provider},src/muxi/services/llm/llm.py,674,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/llm/llm.py:1360,Failed to emit LLM request started event,src/muxi/services/llm/llm.py,1360,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/memory/working.py:657,Failed to generate query embedding for working memory search,src/muxi/services/memory/working.py,657,REPLACE with ErrorEvents.MEMORY_OPERATION_FAILED,,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/memory/working.py:811,"Vector search failed in working memory, falling back to recency search",src/muxi/services/memory/working.py,811,REPLACE with ErrorEvents.MEMORY_OPERATION_FAILED,,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:157,Text content processing failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,157,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:194,Feature extraction failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,194,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:232,Concept extraction failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,232,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:251,Embedding generation failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,251,REPLACE with ErrorEvents.EMBEDDINGS_GENERATION_FAILED,,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:442,No JSON found in LLM response,src/muxi/services/multimodal/fusion_engine.py,442,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:455,JSON in LLM response was not a dictionary,src/muxi/services/multimodal/fusion_engine.py,455,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:463,JSON decode error in LLM response,src/muxi/services/multimodal/fusion_engine.py,463,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:471,Unexpected error parsing JSON in LLM response,src/muxi/services/multimodal/fusion_engine.py,471,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:512,Image content processing failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,512,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:534,Image feature extraction failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,534,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:560,Image feature extraction failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,560,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:585,Vision analysis failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,585,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:669,Image content processing failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,669,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:690,Image feature extraction failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,690,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
ErrorEvents.INTERNAL_ERROR,WARNING,src/muxi/services/multimodal/fusion_engine.py:710,Image feature extraction failed in multimodal fusion,src/muxi/services/multimodal/fusion_engine.py,710,REPLACE with specific ErrorEvent type (INTERNAL_ERROR too generic),,
