event_type,level,trigger,description,file,line,recommendation,comment,status
SystemEvents.A2A_AUTH_INITIALIZED,INFO,src/muxi/services/a2a/auth/outbound.py:132,A2A authentication manager initialized,src/muxi/services/a2a/auth/outbound.py,132,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/inbound.py:551,A2A authentication bypassed (mode: none),src/muxi/services/a2a/auth/inbound.py,551,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/outbound.py:49,Validating A2A authentication credentials,src/muxi/services/a2a/auth/outbound.py,49,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/outbound.py:610,A2A SDK authentication applied successfully,src/muxi/services/a2a/auth/outbound.py,610,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/outbound.py:654,A2A authentication not required,src/muxi/services/a2a/auth/outbound.py,654,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/outbound.py:719,A2A API key authentication applied successfully,src/muxi/services/a2a/auth/outbound.py,719,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/outbound.py:730,A2A bearer token authentication applied successfully,src/muxi/services/a2a/auth/outbound.py,730,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,DEBUG,src/muxi/services/a2a/auth/outbound.py:744,A2A basic authentication applied successfully,src/muxi/services/a2a/auth/outbound.py,744,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,INFO,src/muxi/services/a2a/auth/inbound.py:596,A2A inbound authentication {'successful' if authenticated else 'failed'},src/muxi/services/a2a/auth/inbound.py,596,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,INFO,src/muxi/services/a2a/auth/inbound.py:631,API key authentication successful for client {client_id},src/muxi/services/a2a/auth/inbound.py,631,OK - No issues identified,,
SystemEvents.A2A_AUTH_VALIDATED,INFO,src/muxi/services/a2a/auth/inbound.py:674,Bearer token authentication successful for client {client_id},src/muxi/services/a2a/auth/inbound.py,674,OK - No issues identified,,
