event_type,level,trigger,description,file,line,recommendation,comment,status
APIEvents.API_REQUEST,DEBUG,src/muxi/formation/server/middleware.py:207,Formation API request details,src/muxi/formation/server/middleware.py,207,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:94,Starting A2A inbound credential initialization,src/muxi/services/a2a/auth/inbound.py,94,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:117,A2A inbound credential initialization completed,src/muxi/services/a2a/auth/inbound.py,117,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:158,Loaded A2A inbound credentials from environment,src/muxi/services/a2a/auth/inbound.py,158,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:180,Loaded A2A inbound credentials from file: {config_path},src/muxi/services/a2a/auth/inbound.py,180,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:235,Loaded A2A inbound credentials from individual environment variables,src/muxi/services/a2a/auth/inbound.py,235,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:268,Using default A2A inbound credential configurations,src/muxi/services/a2a/auth/inbound.py,268,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:327,Loaded inbound credential for {client_id},src/muxi/services/a2a/auth/inbound.py,327,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:363,A2A inbound credential loading completed,src/muxi/services/a2a/auth/inbound.py,363,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:493,Added client credential for {client_id},src/muxi/services/a2a/auth/inbound.py,493,OK - No issues identified,,
