event_name,enum_category,exists_in_enum,action,reason,recommendation,file,line,context
A2A_AGENT_REGISTRATIONS_COMPLETED,SystemEvents,NO,NEEDS_REVIEW,Not categorized - needs manual review,"Review context and decide: add back, use existing, or remove",src/muxi/formation/overlord/a2a_coordinator.py,376,observability.observe(
A2A_AGENT_REGISTRATION_FAILED,SystemEvents,NO,NEEDS_REVIEW,Not categorized - needs manual review,"Review context and decide: add back, use existing, or remove",src/muxi/formation/overlord/a2a_coordinator.py,384,observability.observe(
A2A_AGENT_REGISTRATION_FAILED,SystemEvents,NO,NEEDS_REVIEW,Not categorized - needs manual review,"Review context and decide: add back, use existing, or remove",src/muxi/formation/overlord/a2a_coordinator.py,468,observability.observe(
A2A_CONFIG_LOAD_COMPLETED,SystemEvents,NO,REMOVE,Init phase event - too granular,Remove,src/muxi/formation/formation.py,767,observability.observe(
A2A_CONFIG_LOAD_COMPLETED,SystemEvents,NO,REMOVE,Init phase event - too granular,Remove,src/muxi/services/a2a/card_generator.py,79,observability.observe(
A2A_CONFIG_LOAD_COMPLETED,SystemEvents,NO,REMOVE,Init phase event - too granular,Remove,src/muxi/services/a2a/card_generator.py,212,observability.observe(
A2A_CONFIG_LOAD_STARTED,SystemEvents,NO,REMOVE,Init phase event - too granular,Remove,src/muxi/services/a2a/card_generator.py,65,observability.observe(
A2A_CONFIG_LOAD_STARTED,SystemEvents,NO,REMOVE,Init phase event - too granular,Remove,src/muxi/services/a2a/card_generator.py,570,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,94,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,108,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,117,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,158,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,180,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,235,observability.observe(
A2A_CREDENTIAL_LOADED,ConversationEvents,NO,ADD_BACK,Runtime event for A2A credential management,"Add to SystemEvents: A2A_CREDENTIAL_LOADED = ""a2a.credential.loaded""",src/muxi/services/a2a/auth/inbound.py,268,observability.observe(
